119,Data Science: Visualization,Learn basic data visualization principles and how to apply them using ggplot2.,Free*
120,Shakespeare's Life and Work,"Learn how to read William Shakespeare's plays through his biography, Elizabethan and Jacobean history, and modern performance.",Free*
121,Data Science: Probability,Learn probability theory — essential for a data scientist — using a case study on the financial crisis of 2007–2008.,Free*
122,Data Science: Inference and Modeling,Learn inference and modeling: two of the most widely used statistical tools in data analysis.,Free*
123,Managing Happiness,Happiness is within your control. Write your own ending.,Free*
124,Understanding Depression,"This Harvard Health Publishing Online Course is the reliable, go-to source for encouragement and practical advice to help...",30
125,Science & Cooking: From Haute Cuisine to Soft Matter Science (chemistry),"Top chefs and Harvard researchers explore how everyday cooking and haute cuisine can illuminate basic principles in chemistry,...",Free*
126,Food Fermentation: The Science of Cooking with Microbes,"Explore the roles that microbes play in the production, preservation, and enhancement of diverse foods in a variety of culinary...",Free*
127,Science & Cooking: From Haute Cuisine to Soft Matter Science (physics),Top chefs and Harvard researchers explore how traditional and modernist cooking techniques can illuminate basic principles in...,Free*
128,"Webinar: Managing COVID-19 in the Americas, Africa, and the Middle East",Ricardo Hausmann of Harvard Kennedy School discusses the direct and indirect economic impacts of COVID-19 and what economic...,Free*
129,CS50's Introduction to Programming with Python,"An introduction to programming using Python, a popular language for general-purpose programming, data science, web programming,...",Free*
130,Webinar: Supply Chain Management: Failures and Success in a COVID-19 World,Harvard Kennedy School's Mark Fagan discusses the best practices of supply chain management and applicable insights from recent...,Free*
131,"Prescription Drug Regulation, Cost, and Access: Current Controversies in Context","Understand how the FDA regulates pharmaceuticals and explore debates on prescription drug costs, marketing, and testing.",Free*
132,Stress Management,The new online course from Harvard Health Publishing will restore calm and put you in command!,30
133,Contract Law: From Trust to Promise to Contract,"Contracts are a part of our everyday life, arising in collaboration, trust, promise and credit. How are contracts formed? What...",Free*
134,Webinar: Harnessing Power for Positive Impact,"Harvard Kennedy School's Julie Battilana discusses the fundamentals of power, the common myths surrounding it, and how to harness...",Free*
135,Practical Improvement Science in Health Care: A Roadmap for Getting Results,"Learn the skills and tools of improvement science to make positive changes in health, healthcare, and your daily life.",Free*
136,Japanese Books: From Manuscript to Print,"Study Japanese scroll art as text and as ""little movies"" that immerse the viewer through visual narration.",Free*
137,Strengthening Community Health Worker Programs,Learn to deliver high-quality primary health care at scale through national community health worker programs.,Free*
138,Webinar: Strategic Fundraising for Nonprofit Leaders,Harvard Kennedy School and Harvard Business School's Arthur Brooks discusses fundraising and development in a recorded webinar.,Free*
139,Introduction to Data Wise: A Collaborative Process to Improve Learning & Teaching,Learn what is involved in using data wisely to build a culture of collaborative inquiry.,Free*
140,Cell Biology: Mitochondria,A human-centered approach to the fundamentals of cell biology with a focus on the power plants of the cell - mitochondria.,Free*
141,"19th-Century Opera: Meyerbeer, Wagner, & Verdi","Learn the music and cultural impact of three canonical operas from the 1800s: Les Huguenots, Das Rheingold, and Otello.",Free*
142,18th-Century Opera: Handel & Mozart,Study Baroque and Classical opera through Handel’s Giulio Cesare and Mozart’s Don Giovanni,Free*
143,"Fundamentals of Neuroscience, Part 3: The Brain",Discover what makes your brain tick in this third course in our introductory series in neuroscience.,Free*
144,United States Health Policy,Learn the essentials of U.S. health care policy from some of the nation's top experts.,Free*
145,Humanitarian Response to Conflict and Disaster,"Learn the principles guiding humanitarian response to modern emergencies, and the challenges faced in the field today.",Free*
146,"Fundamentals of Neuroscience, Part 1: The Electrical Properties of the Neuron",Learn how electricity makes the neurons in your brain tick.,Free*
147,"Bioethics: The Law, Medicine, and Ethics of Reproductive Technologies and Genetics",An introduction to the study of bioethics and the application of legal and ethical reasoning.,Free*
148,Rhetoric: The Art of Persuasive Writing and Public Speaking,Gain critical communication skills in writing and public speaking with this introduction to American political rhetoric.,Free*
149,"Fundamentals of Neuroscience, Part 2: Neurons and Networks",Discover how neurons work together to create complex networks inside the brain.,Free*
150,Vaccines and Viral Immunology,Learn about developments in the creation of vaccines.,800
151,Genetic Testing and Sequencing Technologies,Explore genetic testing and its clinical applications.,800
